"","level","start","end"
"1",1,1079,73878750
"2",2,1079,23782
"3",3,7245,23782
"4",4,8850,9984
"5",2,949828,1001739
"6",2,1132349,1149643
"7",3,1132349,1133022
"8",4,1132349,1133022
"9",2,1479458,1558587
"10",2,1723990,1735183
"11",2,2410401,2410967
"12",3,2410401,2410967
"13",4,2410401,2410967
"14",2,2489774,2515718
"15",2,2714085,2717337
"16",2,3902505,3977010
"17",2,4269430,4303123
"18",2,4672092,4751116
"19",2,6027538,6049429
"20",2,6496615,6527354
"21",2,6799843,6825213
"22",2,7617686,7635489
"23",3,7635218,7635489
"24",4,7635218,7635489
"25",2,7883979,7956983
"26",3,7956515,7956983
"27",2,8770262,8778844
"28",2,10781495,10806477
"29",2,11231598,11260987
"30",2,11597018,11628954
"31",3,11610988,11616127
"32",2,12515321,12560853
"33",2,13445703,13468740
"34",2,13605022,13608550
"35",2,13718062,13741610
"36",2,15287092,15309176
"37",3,15302049,15309176
"38",4,15302049,15302350
"39",2,18976601,19113091
"40",2,19438550,19499011
"41",2,20158298,20181659
"42",3,20168948,20169381
"43",4,20168948,20169381
"44",2,20590906,20614242
"45",2,21462183,21473659
"46",2,23480148,23486316
"47",2,23657995,23725763
"48",3,23657995,23660343
"49",4,23657995,23659227
"50",2,24411336,24439470
"51",2,24828105,24833207
"52",3,24828105,24833207
"53",2,25487821,25524582
"54",3,25487821,25488887
"55",2,26085302,26112400
"56",2,26412185,26452591
"57",2,26808727,26915148
"58",3,26808727,26812189
"59",2,27468597,27486351
"60",2,28126070,28136756
"61",2,28777078,28799011
"62",2,28896957,28902588
"63",3,28896957,28902588
"64",2,29156468,29185884
"65",2,29373451,29378942
"66",3,29373451,29378942
"67",2,30309813,30313327
"68",2,30364685,30381550
"69",3,30364685,30367670
"70",2,30633126,30671110
"71",3,30645749,30663931
"72",2,31422875,31426783
"73",2,31480166,31508040
"74",2,32375101,32496615
"75",3,32425639,32431625
"76",4,32431288,32431625
"77",2,33131068,33131755
"78",3,33131068,33131755
"79",2,33450039,33480251
"80",2,33630019,33650847
"81",2,33969628,34053003
"82",3,34035359,34037806
"83",4,34035359,34035991
"84",3,34052583,34053003
"85",4,34052583,34053003
"86",2,36179021,36209921
"87",2,36329787,36345273
"88",2,36691128,36753799
"89",2,36877252,36912614
"90",2,37638208,37640581
"91",2,38374841,38414848
"92",2,39774390,39785597
"93",2,40635004,40636041
"94",3,40635004,40636041
"95",2,40982314,41007863
"96",2,41481958,41490701
"97",3,41489659,41490701
"98",2,41687085,41720709
"99",3,41687085,41687397
"100",4,41687085,41687397
"101",3,41697781,41702979
"102",4,41697781,41698205
"103",4,41702517,41702979
"104",2,41911555,41918716
"105",2,42094778,42095362
"106",3,42094778,42095362
"107",2,42386821,42409101
"108",2,42490965,42497201
"109",3,42496642,42497201
"110",2,43337293,43337643
"111",3,43337293,43337643
"112",4,43337293,43337643
"113",2,43639546,43642809
"114",3,43639546,43642809
"115",4,43639546,43642809
"116",2,43860368,43867793
"117",2,44364976,44365500
"118",3,44364976,44365500
"119",2,44715100,44729523
"120",3,44721146,44729523
"121",4,44721146,44727388
"122",2,45035293,45039905
"123",3,45035293,45039905
"124",4,45035293,45035699
"125",2,45810223,45821220
"126",2,46356023,46371856
"127",2,46969524,46974377
"128",2,49090655,49098405
"129",2,49192144,49199798
"130",3,49192144,49194797
"131",4,49192144,49192632
"132",2,50023857,50057447
"133",3,50034271,50038530
"134",4,50034271,50034620
"135",2,51268767,51296791
"136",3,51268767,51269424
"137",4,51268767,51269424
"138",2,51755829,51805448
"139",3,51763463,51764091
"140",4,51763463,51764091
"141",3,51799675,51805448
"142",4,51799675,51802839
"143",2,52899854,52900590
"144",3,52899854,52900590
"145",4,52899854,52900590
"146",2,53655989,53666106
"147",2,55072535,55073702
"148",3,55072535,55073702
"149",4,55072535,55072923
"150",2,56159215,56168127
"151",2,56742478,56804984
"152",2,60586960,60587506
"153",3,60586960,60587506
"154",2,61739583,61740354
"155",3,61739583,61740354
"156",2,63689239,63742604
"157",3,63742237,63742604
"158",4,63742237,63742604
"159",2,64193549,64195066
"160",3,64193549,64195066
"161",2,66347291,66393983
"162",3,66347291,66354164
"163",4,66347291,66347726
"164",2,68026527,68082899
"165",2,68211791,68227653
"166",2,70494737,70498038
"167",3,70494737,70498038
"168",2,70830121,70832253
"169",3,70830121,70832253
"170",2,73334496,73337274
"171",3,73334496,73337274
