"","level","start","end"
"1",1,29257,73841611
"2",2,43750,44308
"3",2,74750,75853
"4",3,74750,75853
"5",2,113192,113582
"6",2,126535,127228
"7",3,126535,127228
"8",2,171237,171605
"9",2,212130,212483
"10",2,251787,260478
"11",3,251787,252831
"12",3,259486,260478
"13",2,325904,356426
"14",2,389681,394203
"15",2,431369,432059
"16",3,431369,432059
"17",2,476311,505543
"18",3,500983,502137
"19",2,566219,573105
"20",3,566219,566521
"21",2,629447,632344
"22",3,629447,629955
"23",2,683756,697366
"24",3,696821,697366
"25",2,751797,771434
"26",3,768217,768588
"27",2,818557,818905
"28",2,908472,909663
"29",3,908472,909663
"30",2,976921,987033
"31",2,1015053,1032321
"32",3,1019603,1020930
"33",2,1065025,1065830
"34",2,1078278,1114051
"35",2,1144592,1145651
"36",3,1144592,1145651
"37",2,1178697,1179001
"38",3,1178697,1179001
"39",2,1218998,1222998
"40",2,1267577,1275117
"41",2,1336780,1337297
"42",3,1336780,1337297
"43",2,1400093,1436074
"44",3,1417171,1417741
"45",3,1420259,1422220
"46",2,1466603,1470679
"47",2,1555540,1556173
"48",2,1568201,1569275
"49",2,1624908,1625933
"50",3,1624908,1625933
"51",2,1658757,1659393
"52",3,1658757,1659393
"53",2,1699372,1702745
"54",2,1714561,1740684
"55",3,1714561,1714785
"56",3,1731865,1732011
"57",2,1799934,1805932
"58",2,1819507,1848902
"59",2,1881736,1890005
"60",2,1949813,1950986
"61",3,1949813,1950986
"62",2,2001820,2003039
"63",3,2001820,2003039
"64",2,2032490,2033301
"65",3,2032490,2033301
"66",2,2060757,2061371
"67",2,2089737,2091425
"68",2,2125080,2125462
"69",2,2177952,2194999
"70",3,2189403,2190400
"71",2,2237409,2261694
"72",2,2321082,2333031
"73",3,2321082,2321929
"74",2,2355697,2364987
"75",2,2382615,2394953
"76",2,2421008,2422638
"77",3,2421008,2421588
"78",2,2458966,2474619
"79",2,2490808,2512796
"80",2,2529547,2530200
"81",2,2549587,2582756
"82",2,2629738,2660171
"83",2,2676641,2679603
"84",2,2744481,2749033
"85",3,2748110,2749033
"86",2,2762616,2764400
"87",2,2778558,2797310
"88",2,2826372,2871568
"89",2,2932636,2932955
"90",2,3033276,3033817
"91",3,3033276,3033817
"92",2,3073371,3075620
"93",2,3089090,3092899
"94",2,3110298,3110560
"95",3,3110298,3110560
"96",2,3167436,3167740
"97",3,3167436,3167740
"98",2,3218203,3218823
"99",2,3283740,3284446
"100",3,3283740,3284446
"101",2,3317453,3317917
"102",2,3406183,3414256
"103",3,3408564,3409124
"104",2,3525998,3526529
"105",3,3525998,3526529
"106",2,3577468,3578057
"107",2,3594835,3595716
"108",2,3703227,3705313
"109",2,3739360,3773041
"110",3,3772121,3773041
"111",2,3808393,3810841
"112",2,3825414,3825761
"113",2,3842309,3846186
"114",2,3998452,3999040
"115",2,4013965,4030040
"116",2,4046060,4046478
"117",2,4066472,4090455
"118",3,4089878,4090455
"119",2,4121774,4122232
"120",2,4154306,4159285
"121",2,4178186,4198776
"122",3,4178186,4179031
"123",2,4251501,4264544
"124",3,4262844,4264544
"125",2,4386302,4408901
"126",3,4386302,4387078
"127",2,4423389,4456941
"128",2,4498713,4499198
"129",2,4568964,4577100
"130",3,4576745,4577100
"131",2,4611982,4612329
"132",2,4650501,4654857
"133",2,4668872,4669227
"134",2,4852065,4852401
"135",2,4880626,4881047
"136",2,4897777,4906430
"137",2,4930782,4933612
"138",3,4930782,4931772
"139",2,5007498,5007669
"140",3,5007498,5007669
