"","level","start","end"
"1",1,1.1561,185.80583333
"2",2,1.1561,1.16366667
"3",3,1.1561,1.16366667
"4",4,1.1561,1.16366667
"5",2,5.1728,5.17996667
"6",3,5.1728,5.17996667
"7",4,5.1728,5.17996667
"8",2,16.21743333,16.2245
"9",3,16.21743333,16.2245
"10",4,16.21743333,16.2245
"11",2,32.69783333,32.70136667
"12",3,32.69783333,32.70136667
"13",4,32.69783333,32.70136667
"14",2,34.5229,34.55703333
"15",3,34.5229,34.55703333
"16",4,34.5229,34.526
"17",2,50.4999,50.5038
"18",3,50.4999,50.5038
"19",4,50.4999,50.5038
"20",2,64.87873333,64.8855
"21",3,64.87873333,64.8855
"22",4,64.87873333,64.8855
"23",2,67.6971,67.70083333
"24",3,67.6971,67.70083333
"25",4,67.6971,67.70083333
"26",2,85.67036667,85.67426667
"27",3,85.67036667,85.67426667
"28",4,85.67036667,85.67426667
"29",2,87.96276667,88.79153333
"30",3,87.96276667,87.9662
"31",4,87.96276667,87.9662
"32",3,88.30993333,88.31346667
"33",4,88.30993333,88.31346667
"34",2,91.18726667,91.19516667
"35",3,91.18726667,91.19516667
"36",4,91.18726667,91.19516667
"37",2,93.0179,93.02136667
"38",3,93.0179,93.02136667
"39",4,93.0179,93.02136667
"40",2,96.9255,96.93366667
"41",3,96.9255,96.93366667
"42",4,96.9255,96.93366667
"43",2,100.82286667,100.82646667
"44",3,100.82286667,100.82646667
"45",4,100.82286667,100.82646667
"46",2,102.7348,102.7454
"47",3,102.7348,102.7454
"48",4,102.7348,102.7454
"49",2,104.05386667,104.36956667
"50",3,104.05386667,104.06103333
"51",4,104.05386667,104.06103333
"52",3,104.36566667,104.36956667
"53",4,104.36566667,104.36956667
"54",2,106.82403333,108.162
"55",3,106.82403333,106.8319
"56",4,106.82403333,106.8319
"57",3,107.65743333,107.66116667
"58",4,107.65743333,107.66116667
"59",3,107.9908,107.99536667
"60",4,107.9908,107.99536667
"61",3,108.15756667,108.162
"62",4,108.15756667,108.162
"63",2,109.04146667,109.5052
"64",3,109.49733333,109.5052
"65",4,109.49733333,109.5052
"66",2,119.04463333,119.30616667
"67",3,119.04463333,119.04876667
"68",4,119.04463333,119.04876667
"69",3,119.30183333,119.30616667
"70",4,119.30183333,119.30616667
"71",2,122.19916667,122.2039
"72",3,122.19916667,122.2039
"73",4,122.19916667,122.2039
"74",2,123.7096,123.71353333
"75",3,123.7096,123.71353333
"76",4,123.7096,123.71353333
"77",2,134.16866667,134.17243333
"78",3,134.16866667,134.17243333
"79",4,134.16866667,134.17243333
"80",2,135.2034,135.2071
"81",3,135.2034,135.2071
"82",4,135.2034,135.2071
"83",2,138.4394,138.7451
"84",3,138.4394,138.44693333
"85",4,138.4394,138.44693333
"86",3,138.7411,138.7451
"87",4,138.7411,138.7451
"88",2,142.00933333,142.013
"89",3,142.00933333,142.013
"90",4,142.00933333,142.013
"91",2,142.98013333,142.98416667
"92",3,142.98013333,142.98416667
"93",4,142.98013333,142.98416667
"94",2,144.57993333,144.87773333
"95",3,144.57993333,144.58826667
"96",4,144.57993333,144.58826667
"97",3,144.8736,144.87773333
"98",4,144.8736,144.87773333
"99",2,151.14243333,151.14956667
"100",3,151.14243333,151.14956667
"101",4,151.14243333,151.14956667
"102",2,152.54206667,152.54996667
"103",3,152.54206667,152.54996667
"104",4,152.54206667,152.54996667
"105",2,154.7523,155.3681
"106",3,155.01106667,155.01556667
"107",4,155.01106667,155.01556667
"108",3,155.36416667,155.3681
"109",4,155.36416667,155.3681
"110",2,156.66866667,157.2849
"111",3,156.66866667,156.6789
"112",4,156.66866667,156.6789
"113",3,157.2804,157.2849
"114",4,157.2804,157.2849
"115",2,162.0241,162.8074
"116",3,162.0241,162.03143333
"117",4,162.0241,162.03143333
"118",3,162.79886667,162.8074
"119",4,162.79886667,162.8074
"120",2,166.25563333,166.99526667
"121",3,166.25563333,166.26333333
"122",4,166.25563333,166.26333333
"123",3,166.99133333,166.99526667
"124",4,166.99133333,166.99526667
"125",2,170.77173333,171.6327
"126",3,170.77173333,170.8074
"127",4,170.77173333,170.8074
"128",3,171.12256667,171.12836667
"129",4,171.12256667,171.12836667
"130",3,171.62883333,171.6327
"131",4,171.62883333,171.6327
"132",2,172.89496667,172.90376667
"133",3,172.89496667,172.90376667
"134",4,172.89496667,172.90376667
"135",2,174.56873333,174.57663333
"136",3,174.56873333,174.57663333
"137",4,174.56873333,174.57663333
"138",2,176.33506667,176.66916667
"139",3,176.33506667,176.48796667
"140",4,176.33506667,176.3387
"141",4,176.46543333,176.48796667
"142",2,178.10433333,178.42216667
"143",3,178.26873333,178.42216667
"144",4,178.26873333,178.27323333
"145",4,178.41666667,178.42216667
"146",2,181.67706667,181.68053333
"147",3,181.67706667,181.68053333
"148",4,181.67706667,181.68053333
"149",2,182.60206667,183.1563
"150",3,182.60206667,182.6056
"151",4,182.60206667,182.6056
"152",3,183.14766667,183.1563
"153",4,183.14766667,183.1563
"154",2,185.39173333,185.80583333
"155",3,185.39173333,185.396
"156",4,185.39173333,185.396
"157",3,185.76993333,185.80583333
"158",4,185.80133333,185.80583333
