cluster_id	KSLabel
0	good
1	good
2	mua
3	good
4	good
5	good
6	mua
7	good
8	good
9	mua
10	mua
11	mua
12	good
13	mua
14	mua
15	mua
16	good
17	good
18	good
19	good
20	good
21	good
22	good
23	good
24	good
25	mua
26	good
27	mua
28	mua
29	good
30	mua
31	good
32	good
33	mua
34	good
35	good
36	mua
37	mua
38	mua
39	good
40	good
41	good
42	mua
43	mua
44	good
45	good
46	mua
47	good
48	good
49	good
50	mua
51	good
52	good
53	good
54	mua
55	good
56	good
57	mua
58	mua
59	good
60	mua
61	mua
62	good
63	good
64	mua
65	good
66	mua
67	good
68	good
69	good
70	good
71	good
72	good
73	good
74	mua
75	good
76	good
77	mua
78	good
79	mua
80	good
81	mua
82	mua
83	mua
84	mua
85	mua
86	good
87	mua
88	mua
89	mua
90	good
91	good
92	good
93	mua
94	mua
95	good
96	good
97	good
98	good
99	good
100	good
101	good
102	mua
103	good
104	good
105	mua
106	good
107	good
108	good
109	mua
110	good
111	mua
